preprocessing,feature_type,classifier,params,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std,params_str
psd_pca10,psd,logreg,"{'C': 1.0, 'max_iter': 1000, 'multi_class': 'multinomial'}",0.7469973149440544,0.1402105021714979,0.6214003464449014,0.15030554686860967,0.7383986303263207,0.1447310493697504,"{'C': 1.0, 'max_iter': 1000, 'multi_class': 'multinomial'}"
psd_pca10,psd,logreg,"{'C': 10.0, 'max_iter': 1000, 'multi_class': 'multinomial'}",0.7469377567573195,0.1398748112974887,0.6214429420474575,0.1499854127492344,0.7383598293118572,0.1443284144018502,"{'C': 10.0, 'max_iter': 1000, 'multi_class': 'multinomial'}"
psd_pca10,psd,rf,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}",0.7423049620980895,0.13282638324092053,0.6182518029637943,0.11690372928933383,0.7303567891372144,0.13368012896229586,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}"
psd_pca10,psd,rf,"{'n_estimators': 100, 'max_depth': 10, 'n_jobs': -1}",0.7382976303838062,0.12907366450367497,0.6032374571161349,0.12583522287771018,0.7242468503590671,0.1281152904292,"{'n_estimators': 100, 'max_depth': 10, 'n_jobs': -1}"
psd_pca10,psd,rf,"{'n_estimators': 100, 'max_depth': 20, 'n_jobs': -1}",0.7429928842106411,0.13147313061191948,0.6188914394791976,0.11962496189711551,0.7317435131532641,0.13297275332015043,"{'n_estimators': 100, 'max_depth': 20, 'n_jobs': -1}"
psd_pca10,psd,rf,"{'n_estimators': 200, 'max_depth': None, 'n_jobs': -1}",0.7425254316726483,0.13526611765070196,0.6149974419643718,0.12275175006279543,0.7300218997393401,0.13743288633437223,"{'n_estimators': 200, 'max_depth': None, 'n_jobs': -1}"
psd_pca10,psd,rf,"{'n_estimators': 200, 'max_depth': 10, 'n_jobs': -1}",0.7406381888157302,0.12653419697060903,0.6030674233501903,0.12310951094045859,0.7262170094581651,0.12487702526744834,"{'n_estimators': 200, 'max_depth': 10, 'n_jobs': -1}"
psd_pca10,psd,rf,"{'n_estimators': 200, 'max_depth': 20, 'n_jobs': -1}",0.7417062294984681,0.1331637324510495,0.613549018709381,0.12688860804949323,0.7298048552988292,0.13441173310726565,"{'n_estimators': 200, 'max_depth': 20, 'n_jobs': -1}"
psd_pca10,psd,svm,"{'C': 0.5, 'gamma': 'scale', 'kernel': 'rbf'}",0.7757176380540527,0.13801069394376578,0.6532473829762909,0.13011413849951356,0.7639017040557342,0.1388633304395614,"{'C': 0.5, 'gamma': 'scale', 'kernel': 'rbf'}"
psd_pca10,psd,svm,"{'C': 0.5, 'gamma': 0.01, 'kernel': 'rbf'}",0.7780054644363247,0.13952066280051262,0.6524018201828363,0.1393087359378398,0.7657064533293568,0.14137821210996535,"{'C': 0.5, 'gamma': 0.01, 'kernel': 'rbf'}"
psd_pca10,psd,svm,"{'C': 1.0, 'gamma': 'scale', 'kernel': 'rbf'}",0.7802874938309997,0.13377753468448347,0.6568727725077793,0.1356663674694362,0.7690722465777087,0.13411687320489996,"{'C': 1.0, 'gamma': 'scale', 'kernel': 'rbf'}"
psd_pca10,psd,svm,"{'C': 1.0, 'gamma': 0.01, 'kernel': 'rbf'}",0.7788146449736999,0.1432840332866298,0.654752754346503,0.14277052081449368,0.7663591547466491,0.1465330337497901,"{'C': 1.0, 'gamma': 0.01, 'kernel': 'rbf'}"
psd_pca10,psd,svm,"{'C': 2.0, 'gamma': 'scale', 'kernel': 'rbf'}",0.779642448056596,0.14259377109113477,0.6561806231685344,0.14136303663755204,0.7674719313105787,0.1450720398017556,"{'C': 2.0, 'gamma': 'scale', 'kernel': 'rbf'}"
psd_pca10,psd,svm,"{'C': 2.0, 'gamma': 0.01, 'kernel': 'rbf'}",0.7770289589717337,0.1513025042099524,0.6550609202307135,0.14391446486048978,0.7642279330805412,0.15673470010559082,"{'C': 2.0, 'gamma': 0.01, 'kernel': 'rbf'}"
psd_pca20,psd,knn,{'n_neighbors': 3},0.7251358609511299,0.13812173474423603,0.6137652766208423,0.13255055629437873,0.7213891833002407,0.14891766008372026,{'n_neighbors': 3}
psd_pca20,psd,knn,{'n_neighbors': 5},0.7351413566247214,0.13948852364214606,0.6218429006414478,0.13152613196642268,0.7286569010629259,0.14754114364948528,{'n_neighbors': 5}
psd_pca20,psd,knn,{'n_neighbors': 7},0.7425215198355797,0.14195707366584068,0.628985047384409,0.13380838729631023,0.7341644539947642,0.15016267844212264,{'n_neighbors': 7}
psd_pca20,psd,knn,{'n_neighbors': 9},0.7446546844420469,0.14354325346685678,0.6283121069636181,0.1323916222757425,0.7351656194132533,0.15204673902185264,{'n_neighbors': 9}
psd_pca20,psd,logreg,"{'C': 0.1, 'max_iter': 1000, 'multi_class': 'multinomial'}",0.754844115554013,0.12786518855229512,0.6309092324161067,0.1335868048914222,0.7483509152098868,0.12611267601439083,"{'C': 0.1, 'max_iter': 1000, 'multi_class': 'multinomial'}"
psd_pca20,psd,logreg,"{'C': 1.0, 'max_iter': 1000, 'multi_class': 'multinomial'}",0.7556196782546459,0.12567719246982978,0.6323719144148007,0.13042198148455383,0.7496032895290005,0.12276860252345265,"{'C': 1.0, 'max_iter': 1000, 'multi_class': 'multinomial'}"
psd_pca20,psd,logreg,"{'C': 10.0, 'max_iter': 1000, 'multi_class': 'multinomial'}",0.7556655801501401,0.1251422738664304,0.6327142287466418,0.12946563605683695,0.7496643056885044,0.12205358905310333,"{'C': 10.0, 'max_iter': 1000, 'multi_class': 'multinomial'}"
psd_pca20,psd,rf,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}",0.7527607644468033,0.13532627640803693,0.620491530365411,0.13071502650822986,0.7398912166856763,0.13588391955582257,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}"
psd_pca20,psd,rf,"{'n_estimators': 100, 'max_depth': 10, 'n_jobs': -1}",0.7421667320650946,0.12632044956099125,0.6000836176641648,0.1209293421834764,0.7252613134780294,0.12401673641661903,"{'n_estimators': 100, 'max_depth': 10, 'n_jobs': -1}"
psd_pca20,psd,rf,"{'n_estimators': 100, 'max_depth': 20, 'n_jobs': -1}",0.7491293765183104,0.13256942364149502,0.6176332236278154,0.1261716134141685,0.7368504181799482,0.1325671428257107,"{'n_estimators': 100, 'max_depth': 20, 'n_jobs': -1}"
psd_pca20,psd,rf,"{'n_estimators': 200, 'max_depth': None, 'n_jobs': -1}",0.7506663598922401,0.13270312712886007,0.6198424154672121,0.12997738913612672,0.7383711618189205,0.1319982359795167,"{'n_estimators': 200, 'max_depth': None, 'n_jobs': -1}"
psd_pca20,psd,rf,"{'n_estimators': 200, 'max_depth': 10, 'n_jobs': -1}",0.7416536930631096,0.12936087137087945,0.5947673564619513,0.11927644847569133,0.7239595824276907,0.12656027910012008,"{'n_estimators': 200, 'max_depth': 10, 'n_jobs': -1}"
psd_pca20,psd,rf,"{'n_estimators': 200, 'max_depth': 20, 'n_jobs': -1}",0.7549747147195933,0.13494608054113036,0.6243041451625994,0.1308553660054124,0.7424412673236424,0.1353260342018412,"{'n_estimators': 200, 'max_depth': 20, 'n_jobs': -1}"
psd_pca20,psd,svm,"{'C': 0.5, 'gamma': 'scale', 'kernel': 'rbf'}",0.785975391734814,0.13981707256363873,0.669842518406307,0.13588933312387888,0.7765094674374075,0.1387080232977309,"{'C': 0.5, 'gamma': 'scale', 'kernel': 'rbf'}"
psd_pca20,psd,svm,"{'C': 0.5, 'gamma': 0.01, 'kernel': 'rbf'}",0.7859542824159723,0.14038603782993475,0.6708176947691524,0.1341781408687126,0.7766067977959287,0.13912134473935855,"{'C': 0.5, 'gamma': 0.01, 'kernel': 'rbf'}"
psd_pca20,psd,svm,"{'C': 1.0, 'gamma': 'scale', 'kernel': 'rbf'}",0.7881502268913745,0.13527213623107975,0.6740171405694689,0.13296132944595546,0.7799339037623549,0.13286789293232218,"{'C': 1.0, 'gamma': 'scale', 'kernel': 'rbf'}"
psd_pca20,psd,svm,"{'C': 1.0, 'gamma': 0.01, 'kernel': 'rbf'}",0.7870111006285395,0.13875137128209095,0.6731373721583712,0.1325513763902605,0.7787229031574767,0.13694226990203193,"{'C': 1.0, 'gamma': 0.01, 'kernel': 'rbf'}"
psd_pca20,psd,svm,"{'C': 2.0, 'gamma': 'scale', 'kernel': 'rbf'}",0.7866110033413273,0.1385904888750607,0.6730219578030731,0.13329587510048962,0.778705464426942,0.1368969310869503,"{'C': 2.0, 'gamma': 'scale', 'kernel': 'rbf'}"
psd_pca20,psd,svm,"{'C': 2.0, 'gamma': 0.01, 'kernel': 'rbf'}",0.7835910842955568,0.14884389120752053,0.6713666764924727,0.13886960593192266,0.7746718218329878,0.15247778365429987,"{'C': 2.0, 'gamma': 0.01, 'kernel': 'rbf'}"
psd_pca30,psd,knn,{'n_neighbors': 3},0.7251788181124506,0.13898239303439286,0.6139524708343979,0.13230988310483424,0.7212612366409723,0.14951268082657015,{'n_neighbors': 3}
